Titel,Auteur,Paginas,Linkje,Suggestie van,Opmerkingen,Stemmen van:,Wouter,Maaike,Evelien,Sander,Isabel,Willemijn,Arwen,Matthijs,Barry,Mathilde
Een vlucht regenwulpen,Maarten 't Hart,197,https://www.goodreads.com/book/show/715333.Een_vlucht_regenwulpen,Barry,Beschikbaar in de online bieb,,,,,,4,,,,3,
The noise of time,Julian Barnes,192,https://www.bol.com/nl/p/the-noise-of-time/9200000062928215/?suggestionType=typedsearch&bltgh=o-EYBzHO-hPhucepJh9BLA.1.2.ProductImage,Arwen,,,7,1,,6,,7,2,3,,6
Being a beast,Charles Foster,256,https://www.goodreads.com/book/show/28696605-being-a-beast,Barry,,,,4,,,1,,5,7,,
And the Hippos Were Boiled in Their Tanks,Jack Kerouac en William S. Burroughs,224,https://www.bol.com/nl/f/and-the-hippos-were-boiled-in-their-tanks/35673340/,Isabel,,,,5,,,,,,,,
De wereld als markt en strijd,Michel Houellebecq,176,https://www.bol.com/nl/p/de-wereld-als-markt-en-strijd/1001004011249055/?suggestionType=suggestedsearch&bltgh=vCt4fHKfBKTNs3A6WJVJYQ.qTLLJLFeXbr1wfkP0vpI5g_0.12.ProductTitle,Isabel,,,,,,3,9,,,10,6,
Hillbilly Blues,J.D. Vance,288,https://www.bol.com/nl/p/hillbilly-blues/9200000076024074/?bltg=itm_event%3Dclick%26mmt_id%3DMMTUNKNOWN%26slt_type%3Drecommendations%26pg_nm%3Dpdp%26slt_id%3Dprd_reco%26slt_nm%3Dproduct_recommendations%26slt_pos%3DC1%26slt_owner%3Dccs%26itm_type%3Dproduct%26itm_lp%3D1%26itm_id%3D9200000076024074&bltgh=jJPfwkfNhW-Vd36-YGJD-A.1_7_8.9.ProductImage,Isabel,De bieb heeft deze,,4,9,2,,8,3,,6,,
A Bride for Daddy's Best Friend,Scarlett Sinn,18,https://www.bol.com/nl/p/a-bride-for-daddy-s-best-friend/9200000112733339/?suggestionType=browse&bltgh=u5X45ZyL4opIzAAizy9Jtw.i1Wi06WZyauql3Hi2aFEeg_0.2.ProductPage,Evelien,,,6,10,,,7,,7,,5,
The restraint of beasts,Magnus Mills,214,https://www.goodreads.com/book/show/323208.The_Restraint_of_Beasts?ac=1&from_search=true,Evelien,Gratis te downloaden via online bibliotheek,,8,2,,,,2,1,4,,7
On the road,Jack Kerouac,254,https://www.goodreads.com/book/show/70401.On_the_Road,Mathilde,,,3,6,,5,,6,,,,
After Dark,Haruki Murakami,191,https://www.bol.com/nl/p/after-dark/9200000030108187/?suggestionType=typedsearch&bltgh=tBMGrxSkzWbJt9edYytFUg.1.2.ProductImage,Mathilde,,,9,3,1,,6,8,,5,4,
Concept M,Aafke Romeijn,256,https://www.bol.com/nl/p/concept-m/9200000086440703/?suggestionType=typedsearch&bltgh=qZHVtIPv7W5eNG5t1fZGVA.1.2.ProductImage,Wouter,Beschikbaar in de online bieb (ook als luisterboek),,5,7,3,,,,3,3,2,
Grijze Zielen,Philippe Claudel,256,https://www.bol.com/nl/p/grijze-zielen/9200000057137669/?suggestionType=typedsearch&bltgh=rgdiYp7YxtYKmAvgSOxN5A.1.2.ProductImage,Matthijs,,,,,,4,2,1,,9,,
Steppewolf,Hermann Hesse,224,https://www.bol.com/nl/f/steppewolf/9200000049298675/?Referrer=ADVNLGOO002008J-F7CQGFIURUYLW-312194578738&gclsrc=aw.ds&ds_rl=1263476&Referrer=ADVNLGOO002008J-F7CQGFIURUYLW-312194578738&gclid=Cj0KCQjwsvrpBRCsARIsAKBR_0JSBAd3-l8WoWmWTNSugZmTFMtgxgPdZfnju9fcA5u7p8yr_us-0DEaAtU9EALw_wcB,Sander,,,2,,,,,,,,,
Heart of Darkness,Joseph Conrad,144,https://www.bol.com/nl/p/heart-of-darkness/1001004009163716/?Referrer=ADVNLGOO002008J-JFR272QPL4EZ4-327421322797&gclid=Cj0KCQjwsvrpBRCsARIsAKBR_0J3_VLFizK68_yNI4335krZS73Bt1kHuCk3tPq11mn8aWChsZ6O-6kaAh7IEALw_wcB,Sander,,,,8,,2,3,4,6,2,,4
Do Androids Dream of Electric Sheep?,Philip K. Dick,208,https://www.bol.com/nl/p/do-androids-dream-of-electric-sheep/1001004011780138/?suggestionType=featured_product&suggestedFor=do%20&originalSearchContext=media_all&originalSection=main,Matthijs,,,,,,8,,5,4,8,1,3
Neuromancer,Wiliam Gibson,320,https://www.bol.com/nl/p/neuromancer/9200000054938604/?bltg=itm_event%3Dclick%26mmt_id%3DMMTUNKNOWN%26slt_type%3Drecommendations%26pg_nm%3Dpdp%26slt_id%3Dprd_reco%26slt_nm%3Dproduct_recommendations%26slt_pos%3DC1%26slt_owner%3Dccs%26itm_type%3Dproduct%26itm_lp%3D6%26itm_id%3D9200000054938604&bltgh=qceri7YHJwAt-EkaoFZMGg.1_7_8.14.ProductTitle,Matthijs,,,1,,,,,,,,,5
Aantekeningen uit het Ondergrondse,Fjodor Dostojevski,160,https://www.bol.com/nl/p/aantekeningen-uit-het-ondergrondse/9200000007691779/?bltg=itm_event%3Dclick%26mmt_id%3DMMTUNKNOWN%26slt_type%3Drecommendations%26pg_nm%3Dpdp%26slt_id%3Dprd_reco%26slt_nm%3Dproduct_recommendations%26slt_pos%3DC1%26slt_owner%3Dccs%26itm_type%3Dproduct%26itm_lp%3D4%26itm_id%3D9200000007691779&bltgh=k8IiBkr-IZopE9AU0JBKYg.1_7_8.12.ProductTitle,Matthijs,In het engels gratis verkrijgbaar op Project Gutenberg (epub & luisterboek),,10,,,1,5,,,,,1
Dark Side of the Sun,Terry Pratchett,240,https://www.bol.com/nl/f/the-dark-side-of-the-sun/33251196/,,"Contradictoir aan wat bol.com zegt geen discworld novel, maar een stand alone werk",,,,,7,,,,1,,2
